parliament|n.议会，国会；
implement|vt.实施，执行，实现，使生效；n.工具，器具，手段；
monument|n.纪念碑，纪念物，不朽的功业（著作）等；
document|n.文档；vt.记录；
comment|n.评论，解释，批评；v.评论；
urgent|adj.紧急的，迫切的；
urge|vt.极力主张，强烈要求；n.刺激，冲动，迫切要求；
burden|n.担子，重担，负担；vt.给予负担或麻烦；
bond|n.结合（物），结合力，黏合（剂），联结，束缚，羁绊；
bias|n.偏见；v.使有偏见；
basis|n.基础，原因，方式；
battle|n.战斗；v.作战；
battery|n.电池(组)，(器具等的)一组，一套，炮兵连；
bacteria|n.[pl]（[sing]bacterium）细菌；
determine|v.决心，决意，测定，查明；
alternative|adj.供选择的，选择性的，交替的；n.二中择一，供替代的选择；
external|a.外部的，外面的，表面上的；
extreme|adj.极端的，极度的，偏激的，尽头的；n.极端，末端，最大程度，极端的事物；
texture|n.质地，纹理，结构，本质，实质；
feature|n.特征，容貌，特色，特写；v.以...为特色；
leisure|a.&n.空闲（的），闲暇（的），悠闲（的），安逸（的）；
hemisphere|n.半球；
atmosphere|n.大气(层)，空气，气氛，环境，大气压；
alcohol|n.酒精，酒；
scholar|n.学者；
solar|adj.太阳的，太阳系的，日光的；
former|adj.从前的，以前的；
formula|n.公式，方案，配方；
reform|n.改革，改良，改正；vt.改革，革新，重新组成；vi.重组，改过；adj.改革的，改革教会的；
remind|vt.提醒，使想起；
seminar|n.研讨会，研讨班；
deliver|v.传送，兑现；vt.发表，接生；
behave|vi.表现；v.表现得体；
serve|v.为...服务，供应；
reserve|n.储备，储存，自然保护区，预备队，缄默，[金融]储备金；vt.储备，保留，预约；vi.预订；
deserve|v.应受，该得，值得；
desert|v.放弃，离弃；n.沙漠；
detect|v.发觉，发现，检定；
detail|n.细节，详情；vt.详述，细说；
default|vi.拖欠，不履行，不到场；n.违约，缺席，缺乏，系统默认值；vt.不履行，不参加（比赛等），对...处以缺席裁判；
faculty|n.科，系，能力，全体教员，天赋；
factory|n.工厂，制造厂；
factor|n.因素，要素，系数；
alter|v.改变，更改；
cancer|n.癌，癌症，肿瘤；
pioneer|n.先锋，拓荒者；vt.开辟，倡导，提倡；vi.作先驱；
volunteer|n.志愿者；vt.志愿；
mental|adj.精神的，智力的，心理上的；
mention|vt.提到，谈到，提及，论及，说起；n.提及，说起；
justify|v.证明...是正当的；
justice|n.正义，公平，公正；
junior|a.初级的；n.（中学或大学）三年级学生；
superior|a.较高的，上级的，有优势的，出众的；n.上级，长官；
category|n.类别，范畴；
catalog|n.目录，系列；vt.为...编目录；
analyze|vt.分析，分解；
athlete|n.运动员；
deplete|v.损耗，耗尽，使枯竭；
depend|vi.依赖，依靠，取决于，相信，信赖；
define|vt.定义，详细说明；
decline|v.拒绝，变弱，变小；n.消减；
declare|vt.宣布，声明；
delay|n.耽搁，迟滞；v.使延误，使耽搁，延期，推迟；
display|n.显示，陈列，炫耀，显示器；vt.显示，夸示；v.显示；
dispute|n.&v.辩论，争论，争吵，争端；
despite|prep.不管，尽管，不论；
desire|n.欲望，要求；v.想要，请求；
deposit|v.存放，放下，使沉积；n.押金；
demonstrate|vt.证明，展示，论证；vi.示威；
infrastructure|n.基础结构，基础设施；
architecture|n.建筑学，建筑风格，建筑式样，架构；
acupuncture|n.针刺，针灸；
sculpture|n.雕塑，雕刻，刻蚀；vt.雕塑，雕刻，刻蚀；vi.从事雕刻；
structure|n.结构，构造，建筑物；v.构造，建造；
distribute|vt.分配，散布，分开，把...分类；
distract|vt.分散（注意力），使分心；
disorder|n.混乱，杂乱，骚乱，失调，疾病；
discourage|v.使气馁，使沮丧，阻碍；
database|n.数据库，资料库；
decrease|v.减少；
nuclear|a.核的，核心的，原子能的，核动力的；
familiar|a.熟悉的，通晓的，亲近的；n.熟客，密友；
