accurate|adj.精确的，准确的，正确无误的；
accelerate|v.（使）加速，加快，促进；
acknowledge|v.承认（事实、情况等），认可，感谢；
accomplish|v.完成，实现，达到（目的）；
psychology|n.心理学，心理，心理特征；
biology|n.生物学，生物；
fatigue|n.疲劳，劳累，厌倦；v.使疲劳，使疲倦；
attribute|v.把……归因于，认为……是由于；n.属性，性质，特征；
attempt|v.尝试，试图，努力；n.尝试，企图；
attend|v.出席，参加，照料，护理；
attach|v.贴上，系上，附上，依恋；
obstacle|n.障碍，阻碍，干扰；
observe|v.观察，观测，遵守，奉行；
absorb|v.吸收（液体、气体等），理解，掌握，吸引；
assume|v.假定，假设，承担（责任），就职；
assign|v.分配，分派，指定，指派；
passion|n.激情，热情，酷爱，强烈情感；
transaction|n.交易，业务，办理，处理；
occupation|n.职业，工作，消遣，占领；
occasion|n.时机，场合，时刻，庆典；v.引起，惹起；
occupy|v.占据，占用，使忙碌，使从事；
concert|n.音乐会，演奏会，一致，和谐；v.协同安排，协调；
abundant|adj.大量的，丰盛的，充裕的；
affluent|adj.富裕的，富足的，殷实的；n.富人，有钱人；
adolescent|adj.青春期的，青少年的；n.青少年；
accent|n.口音，腔调，重音；v.着重，强调；
account|n.账户，账目，描述，报道；v.解释，说明，认为；
accuse|v.控告，控诉，指责，谴责；
abuse|v.滥用，虐待，辱骂；n.滥用，虐待，辱骂；
arise|v.出现，产生，起身，起立；
file|n.文件，档案，文件夹；v.提交（文件、申请等），把……归档；
flu|n.流行性感冒，流感；
debt|n.债务，欠款，负债情况；
admit|v.承认（过错、罪行等），准许进入，接纳；
limit|n.限度，限制，界限；v.限制，限定；
crisis|n.危机，危急关头，危难时刻；
certain|adj.确实的，确定的，某一，某种；
perceive|v.注意到，意识到，察觉到，理解；
profile|n.侧面轮廓，（人物、机构等的）简介，概况；v.扼要介绍，概述；
opposite|adj.相反的，对面的，对立的；n.对立面，反面，相反的人（或事物）；
appeal|v.呼吁，恳求，上诉，吸引；n.呼吁，上诉，吸引力；
approve|v.赞成，同意，批准，通过（计划、提案等）；
approach|v.靠近，接近，接洽，着手处理；n.方法，途径，接近；
appropriate|adj.合适的，恰当的；v.挪用，占用，盗用；
appreciate|v.欣赏，赏识，感激，意识到；
specific|adj.特定的，特殊的，明确的，具体的；n.详情，细节，特性；
species|n.物种，种；
objective|adj.客观的，如实的，目标的；n.目标，目的；
advertise|v.（为……）做广告，登广告，宣传；
adverse|adj.不利的，有害的，反面的；
advocate|v.提倡，拥护，支持；n.拥护者，倡导者，律师；
adequate|adj.足够的，适当的，合格的；
persuade|v.说服，劝说，使相信，使信服；
passenger|n.乘客，旅客；
customer|n.顾客，客户；
youngster|n.年轻人，少年，儿童；
quarter|n.四分之一，季度，一刻钟，地区；v.把……分成四等份，给……提供住处；
currency|n.货币，通货，流通，流传；
current|adj.当前的，现在的，通用的，流通的；n.水流，电流，气流；
surge|n.激增，猛增，汹涌，奔腾；v.急剧上升，激增，涌动；
cure|v.治愈，治好（疾病），解决（问题）；n.治疗，疗法，对策；
core|n.核心，要点，果核；v.去掉（水果）的核；
code|n.密码，代码，法典，准则；v.编码，为……编码；
norm|n.常态，正常行为，规范，标准；
record|n.记录，记载，唱片；v.记录，录制，记载；
region|n.地区，区域，（一国除首都以外的）行政区域；
regular|adj.定期的，有规律的，常规的，经常的；
regulate|v.（用规则条例）约束，控制，管理，调节；
translate|v.翻译，译，（使）转变，（使）转化；
transport|v.运输，运送，输送；n.交通运输系统，运输，运送；
transform|v.使改变形态，使改观，转换，改造；
transfer|v.转移，搬迁，调动，转让；n.转移，搬迁，调动，换乘；
transmit|v.传输，传送，发射，播送；
transit|n.运输，运送，中转；v.经过，通过，中转；
grand|adj.宏伟的，壮丽的，重大的，主要的；
aware|adj.意识到的，知道的，明白的；
affair|n.事情，事件，公共事务，风流韵事；
officer|n.军官，（政府或大机构的）官员，高级职员；
fiber|n.（动植物的）纤维，纤维质；
fierce|adj.凶猛的，凶狠的，激烈的，猛烈的；
finance|n.财政，金融，资金；v.给……提供资金，资助；
circumstance|n.条件，环境，情况，境遇；
