mitigate|vt.减轻，缓和，缓解，平息；
initiate|v.开始，发起，创始，引入；n.新加入者；
intricate|adj.复杂的，错综的，精细的，难懂的；
implicate|vt.暗示，牵连，涉及，表明；
empirical|adj.经验主义的，以经验为依据的，实证的；
neutral|adj.中立的，中性的，不偏不倚的，无倾向性的；n.中立者，中立国；
bilateral|adj.双边的，双方的，两侧的；
dilemma|n.困境，进退两难，两难境地；
implement|vt.实施，执行，贯彻，使生效；n.工具，器具，用具；
complement|vt.补充，补足，使完美；n.补充物，补足物，补语，配对物；
compatible|adj.兼容的，和谐的，能共存的，可并立的；
versatile|adj.多才多艺的，多功能的，多面的，万能的；
tentative|adj.试探性的，暂定的，犹豫的，不确定的；n.尝试，假设；
lucrative|adj.赚钱的，有利可图的，获利多的，肥美的；
imperative|adj.必要的，紧急的，命令的，强制的；n.必要的事，命令，规则；
paradigm|n.范例，模式，典范，范式；
paradox|n.悖论，矛盾，自相矛盾的人或事；
orthodox|adj.正统的，传统的，规范的，保守的；n.正统派，正统的人；
method|n.方法，方式，办法，秩序；
rigor|n.严格，严密，严酷，精确；
uniform|adj.一致的，统一的，相同的，不变的；n.制服，校服；
transform|vt.转变，改革，转换，变形；vi.变形，变换；
transparent|adj.透明的，清晰的，易理解的，坦率的；
widespread|adj.分布广泛的，普遍的，广泛流传的，大面积的；
contemporary|adj.当代的，现代的，同时代的；n.同代人，当代人；
controversial|adj.有争议的，引起争论的，有分歧的；
comprehensive|adj.全面的，综合的，广泛的，理解力强的；
hypothesize|v.假设，假定，推测，设想；
modernize|vt.使现代化，更新；vi.现代化；
underlie|vt.构成基础，位于下面，支撑，引起；
undermine|vt.逐渐削弱，破坏，侵蚀基础，暗中破坏；
standardize|vt.标准化，使统一，使规范化；vi.标准化；
jeopardize|vt.危害，危及，使陷入危险，损害；
globalize|vt.使全球化，使国际化；vi.全球化；
visualize|vt.可视化，想象，设想，使形象化；vi.形成思维图像；
viable|adj.可行的，能生存的，能发展的，有活力的；
vulnerable|adj.易受伤害的，脆弱的，易受攻击的，敏感的；
tangible|adj.有形的，实际的，可触摸的，明确的；n.有形资产；
feasible|adj.可行的，可能的，行得通的，适宜的；
negligible|adj.可忽略的，微不足道的，无关紧要的，极小的；
reconcile|vt.和解，调和，使一致，使和谐；vi.和解；
juvenile|adj.青少年的，幼稚的，未成熟的；n.青少年，少年；
benevolent|adj.仁慈的，慈善的，善意的，和蔼的；
pertinent|adj.相关的，切题的，恰当的，中肯的；
redundant|adj.多余的，冗余的，被解雇的，过多的；
warrant|vt.证明...合理，保证，授权，担保；n.授权令，许可证，依据；
hierarchy|n.等级制度，层级，阶层，层次结构；
gregarious|adj.社交的，群居的，合群的，喜欢交友的；
notorious|adj.臭名昭著的，声名狼藉的，众所周知的；
consensus|n.共识，一致意见，多数人的意见；
encompass|vt.包含，包括，环绕，包围；
accommodate|vt.容纳，为...提供住宿，使适应，调解；
disseminate|vt.传播，散布，分发，普及；
differentiate|v.区分，区别，使不同，辨别；
infrastructure|n.基础设施，基础结构，公共建设，下部构造；
magnitude|n.巨大，重要性，大小，数量级；
cognitive|adj.认知的，认识的，感知的，思维的；
legitimate|adj.合法的，合理的，正当的，正统的；vt.使合法，证明...有理；
legislate|v.立法，制定法律，通过法案；
degrade|vt.使退化，使降级，贬低，败坏；vi.退化，降级；
integrate|v.整合，使完整，使一体化，结合；adj.整体的，综合的；
deteriorate|v.恶化，变坏，退化，变质；
terminate|v.终止，结束，终结，解雇；adj.终止的，结束的；
subordinate|adj.下级的，次要的，从属的；n.下属，下级；vt.使服从，使从属；
